Pubchem_CID,Inchikey,Targets ,Canonical_smiles,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,SULT1A1,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,SULT1A2,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,SULT1B1,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,SULT1C2,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,SULT1C3,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,SULT1C4,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,SULT1E1,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,SULT2A1,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,SULT2B1,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,TPST2,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
76,FMGSKLZLMKYGDP-UHFFFAOYSA-N,HSD17B1,OC1CC2=CCC3C4CCC(=O)C4(CCC3C2(CC1)C)C,
76,FMGSKLZLMKYGDP-UHFFFAOYSA-N,SULT2A1,OC1CC2=CCC3C4CCC(=O)C4(CCC3C2(CC1)C)C,
76,FMGSKLZLMKYGDP-UHFFFAOYSA-N,SULT2B1,OC1CC2=CCC3C4CCC(=O)C4(CCC3C2(CC1)C)C,
85,PHIQHXFUZVPYII-UHFFFAOYSA-O,CRAT,OC(CC(O)=O)C[N+](C)(C)C,
85,PHIQHXFUZVPYII-UHFFFAOYSA-O,CROT,OC(CC(O)=O)C[N+](C)(C)C,
87,DBXBTMSZEOQQDU-UHFFFAOYSA-N,HIBCH,OC(=O)C(CO)C,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,BRCA1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PIM1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,TRAF7,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,TTK,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,ABL1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,ACACB,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,ALPP,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,AP2A1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,AP2A2,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,AP2S1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,APC,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,ARR3,P(OCC(N)C(O)=O)(O)(O)=O,
